"","salario","horas","iq","kww","educacion","experiencia","trabajo","edad","casado","afro","sur","zona","hermanos","num.naci","educ.madre","educ.padre","lsalario"
"26",1602,60,124,32,16,8,9,29,1,0,0,1,3,1,16,16,7.3790078
"27",1188,40,93,40,13,16,5,35,1,0,0,1,2,1,12,8,7.0800271
"28",800,40,115,39,18,11,1,35,1,0,1,1,0,1,8,8,6.6846118
"29",1417,48,125,41,17,9,4,34,1,0,0,1,3,1,13,12,7.2562971
"30",635,40,128,35,18,8,13,36,0,0,0,1,2,1,16,16,6.4536252
"31",1000,40,103,40,12,17,2,34,1,0,0,1,1,1,8,0,6.9077549
"32",1424,50,98,41,14,15,4,35,1,0,0,1,1,1,12,12,7.2612252
"33",2668,75,108,41,13,12,2,32,1,0,1,1,1,2,12,12,7.8890839
"34",666,75,129,40,18,8,12,38,1,0,0,0,2,1,18,18,6.5012898
"35",1779,40,132,42,17,8,9,32,1,0,0,1,1,1,17,14,7.4838071
"36",782,40,92,24,13,9,10,31,1,0,0,1,3,3,8,0,6.6618552
"37",1572,35,108,39,14,7,5,28,1,1,0,1,1,0,12,8,7.3601041
"38",1274,40,106,35,13,11,12,31,1,0,0,1,0,1,15,12,7.1499171
"39",714,35,105,37,16,9,2,29,1,0,0,1,1,2,13,12,6.5708828
"40",1081,40,123,46,18,11,7,36,1,0,0,0,1,1,12,12,6.985642
"41",692,40,108,48,12,21,11,38,1,0,0,1,3,1,8,7,6.5395861
"42",1318,38,122,47,17,10,9,33,1,0,0,1,1,0,12,8,7.1838708
"43",1239,45,109,44,12,16,4,38,1,0,0,1,3,3,12,0,7.1220598
"44",1027,27,100,40,13,12,15,38,1,0,0,1,3,3,10,9,6.9343972
"45",1748,55,125,50,18,12,12,34,1,0,0,1,1,2,14,15,7.466228
"46",981,40,122,41,14,9,15,35,0,0,0,1,3,2,12,0,6.8885732
"47",770,40,105,34,17,7,11,30,1,0,0,1,3,1,12,12,6.64639
"48",1154,50,94,37,16,11,5,33,1,0,0,1,1,0,12,12,7.0509901
"49",1155,40,102,36,12,16,5,34,1,0,0,1,1,2,12,0,7.051856
"50",808,60,109,47,13,14,12,38,1,0,0,1,2,2,12,10,6.694562
"51",1100,40,105,45,12,22,14,38,1,0,0,1,1,1,12,12,7.0030661
"52",1154,40,134,46,18,10,10,37,1,0,1,1,2,1,12,12,7.0509901
"53",1749,40,108,32,12,13,9,29,0,0,0,1,7,1,12,9,7.4667988
"54",1000,50,104,36,16,11,8,30,1,0,0,1,1,1,12,11,6.9077549
"55",462,40,112,35,12,11,1,29,1,0,0,1,8,3,12,0,6.1355648
"56",769,55,120,49,18,8,12,32,0,0,0,1,1,1,11,8,6.6450911
"57",875,50,124,40,16,9,3,31,0,0,0,0,2,2,17,16,6.7742238
"58",1375,40,103,34,12,12,7,29,1,0,0,1,4,2,12,10,7.2262092
"59",1452,45,115,45,17,1,7,30,1,0,0,1,3,1,12,14,7.2806969
"60",800,40,96,33,12,17,12,35,1,0,0,1,1,2,6,8,6.6846118
"61",1748,55,123,48,17,10,7,36,1,0,0,1,1,1,12,12,7.466228
"62",1151,40,98,34,12,12,12,29,1,0,0,1,3,4,12,8,7.0483871
"63",840,50,96,34,12,18,13,35,1,0,0,1,2,1,12,8,6.7334018
"64",978,45,89,47,12,17,2,38,1,0,0,1,0,1,12,0,6.885509
"65",963,40,109,43,12,15,15,37,0,0,0,0,5,0,0,7,6.8700528
"66",619,42,93,20,12,10,10,28,0,0,0,1,8,0,9,11,6.4281049
"67",442,60,82,32,12,12,0,33,1,0,0,1,2,3,12,9,6.09131
"68",600,40,120,45,15,12,1,38,1,0,0,0,3,4,12,0,6.3969302
"69",1366,38,122,38,12,15,15,32,1,0,0,1,1,2,12,0,7.2196422
"70",1643,48,117,48,18,8,2,33,1,0,0,1,2,2,12,18,7.4042792
"71",1455,40,109,44,16,8,13,36,1,0,0,1,1,2,8,8,7.2827611
"72",2310,40,114,55,18,12,7,38,1,0,0,1,2,0,12,16,7.7450032
"73",1682,45,126,40,16,10,11,31,1,0,0,1,1,1,12,16,7.4277391
"74",1235,40,82,45,12,10,2,33,1,0,0,1,1,1,11,11,7.1188259
"75",855,45,119,45,16,11,4,32,1,0,0,1,3,1,12,9,6.751101
"76",1072,42,104,37,16,6,8,35,1,0,0,1,2,2,12,6,6.977282
"77",1040,40,115,49,15,8,15,35,1,0,0,1,3,4,0,11,6.9469762
"78",1000,50,97,45,12,17,15,36,1,0,0,1,1,2,12,12,6.9077549
"79",675,40,105,27,15,8,2,31,1,0,0,0,3,0,14,12,6.5147128
"80",1100,37,100,32,12,14,1,30,1,0,0,1,1,2,7,7,7.0030661
"81",996,50,114,41,12,5,14,31,1,0,0,1,2,1,12,10,6.9037471
"82",732,40,73,28,10,17,5,36,1,0,0,1,5,6,0,0,6.5957799
"83",1200,40,96,48,11,15,3,37,1,0,0,1,4,3,8,8,7.0900769
"84",1694,30,113,30,15,9,8,29,0,0,0,1,3,1,12,16,7.4348478
"85",686,55,106,38,10,15,3,36,1,0,1,1,4,5,14,10,6.5308781
"86",754,40,104,37,13,9,5,32,1,0,0,1,1,2,8,0,6.625392
"87",857,35,80,39,10,14,15,33,1,0,0,1,2,1,0,12,6.753438
"88",832,50,104,30,13,4,2,30,1,0,0,1,1,2,12,8,6.7238331
"89",579,44,122,36,13,8,1,30,1,0,0,0,4,1,16,16,6.3613019
"90",672,61,96,38,12,13,3,34,1,0,0,1,2,0,12,13,6.5102582
"91",2500,40,95,51,15,12,9,36,1,0,0,1,3,1,16,16,7.8240461
"92",1076,45,105,24,12,5,8,31,0,0,0,1,1,1,16,17,6.9810061
"93",750,40,94,18,12,16,3,37,1,1,0,1,7,3,8,8,6.6200728
"94",1186,30,91,41,17,8,9,33,1,0,0,1,1,1,12,14,7.078341
"95",833,48,96,37,16,9,7,31,1,0,0,1,4,4,12,14,6.7250342
"96",650,40,69,37,12,14,11,30,1,1,0,1,3,4,10,9,6.4769731
"97",1250,46,110,37,12,5,16,38,1,0,0,0,1,1,0,12,7.130899
"98",1122,48,111,44,15,12,9,31,1,0,0,1,3,1,9,12,7.0228682
"99",865,40,110,35,16,1,11,31,1,0,0,1,3,1,9,12,6.7627301
"100",808,40,97,37,16,10,7,29,1,0,0,1,3,3,9,12,6.694562
"101",1299,60,125,44,18,6,12,35,0,0,0,1,1,2,8,8,7.1693501
"102",903,40,91,39,12,6,12,36,1,0,0,1,5,4,9,10,6.8057232
"103",900,40,86,28,12,17,15,37,1,0,0,1,5,3,8,10,6.8023949
"104",625,40,110,32,12,18,0,35,1,0,0,1,4,1,9,8,6.4377518
"105",1586,40,92,47,14,16,1,36,1,0,1,1,4,4,12,0,7.3689699
"106",962,40,85,41,10,15,16,38,1,0,0,1,1,2,9,12,6.8690138
"107",1539,45,120,36,17,7,8,34,1,0,0,1,1,1,8,8,7.3388882
"108",1110,52,106,42,12,11,6,33,1,0,0,0,5,2,12,12,7.012115
"109",1282,45,112,41,16,6,6,31,0,0,1,1,2,2,12,12,7.156177
"110",770,48,91,39,12,13,2,38,1,0,0,1,1,2,10,8,6.64639
"111",1000,45,90,42,12,16,0,38,1,0,0,1,6,3,10,12,6.9077549
"112",895,40,86,39,9,17,16,38,1,1,0,0,2,0,0,12,6.796824
"113",1205,40,86,32,10,13,0,32,1,1,0,1,5,5,8,0,7.0942349
"114",750,40,113,27,12,11,10,29,1,0,0,0,1,0,12,12,6.6200728
"115",654,50,111,51,13,5,16,38,1,0,0,1,3,3,12,9,6.483108
"116",601,48,111,30,12,15,3,33,1,0,0,1,0,1,12,12,6.3985949
"117",600,40,106,32,13,10,11,28,1,0,0,1,6,0,8,7,6.3969302
"118",433,40,98,28,12,11,10,30,0,0,0,1,1,1,12,11,6.0707378
"119",1188,40,105,28,12,11,7,30,1,0,0,1,3,1,12,10,7.0800271
"120",635,40,105,29,12,15,15,33,1,0,0,0,2,2,10,0,6.4536252
"121",1225,40,118,44,13,9,14,32,1,0,0,1,0,1,12,9,7.1106958
"122",1151,45,90,38,12,19,19,36,1,0,0,1,1,1,12,8,7.0483871
"123",865,40,95,34,12,15,11,32,0,0,0,1,3,1,9,8,6.7627301
"124",1031,40,112,24,14,9,5,29,1,0,0,1,4,2,12,12,6.9382839
"125",1049,55,120,39,12,9,11,32,1,0,0,1,3,2,12,10,6.9555931
"126",1000,45,123,41,12,12,1,29,1,0,0,1,3,3,12,10,6.9077549
"127",1105,40,103,32,13,10,11,30,1,0,0,1,1,1,16,15,7.0076008
"128",1924,50,121,40,18,11,7,35,1,0,0,1,3,1,16,18,7.562161
"129",1346,40,90,44,16,9,16,38,1,0,0,1,1,1,12,12,7.2048931
"130",809,65,125,32,12,11,10,29,1,0,0,1,0,1,12,12,6.6957989
"131",1495,45,109,34,18,10,3,32,1,0,0,1,3,1,9,8,7.3098822
"132",1346,50,128,46,16,10,1,33,0,0,0,0,3,1,10,9,7.2048931
"133",1200,40,97,35,12,10,4,31,1,0,0,1,3,1,12,12,7.0900769
"134",500,40,96,35,12,6,0,33,1,0,1,1,4,4,12,12,6.2146082
"135",1325,45,97,44,12,12,5,28,1,0,0,1,1,2,12,8,7.189168
"136",900,40,78,21,12,16,5,33,1,1,0,1,4,1,7,6,6.8023949
"137",800,40,112,39,12,15,3,34,1,0,0,1,6,4,7,0,6.6846118
"138",800,40,88,32,12,16,7,38,1,0,0,1,3,2,2,5,6.6846118
"139",1034,40,97,39,12,15,16,36,1,0,0,1,14,10,14,11,6.9411898
"140",980,40,101,41,12,4,12,36,1,0,0,1,1,0,6,9,6.8875532
"141",884,40,106,42,10,19,12,34,1,0,0,1,2,1,7,10,6.7844572
"142",480,40,59,28,10,11,5,34,0,0,0,1,0,1,8,6,6.1737862
"143",923,40,105,54,18,7,14,34,1,0,0,1,1,1,12,12,6.8276291
"144",513,45,119,30,17,8,5,31,0,0,0,1,1,1,12,8,6.2402759
"145",1105,40,93,36,11,17,16,37,0,0,0,1,2,2,8,8,7.0076008
"146",1193,50,82,38,12,19,10,36,1,0,1,1,0,1,12,0,7.0842271
"147",2771,50,134,45,18,6,7,34,1,0,0,1,4,3,16,16,7.9269629
"148",779,40,84,29,12,9,6,30,1,0,0,1,0,1,8,12,6.658011
"149",950,60,98,36,11,13,6,31,1,0,0,1,2,1,12,12,6.856462
"150",1394,40,118,41,16,11,8,30,1,0,0,0,2,1,13,12,7.239933
"151",1495,45,113,50,17,13,9,33,1,0,0,1,3,3,12,8,7.3098822
"152",650,40,100,18,12,4,3,28,1,0,0,1,6,2,9,11,6.4769731
"153",670,40,93,27,13,9,5,29,1,0,0,1,2,0,12,12,6.507277
"154",1126,40,119,30,16,5,8,32,1,0,0,1,1,1,12,10,7.0264268
"155",450,64,67,19,12,11,1,33,0,1,0,1,6,1,11,4,6.1092482
"156",1028,40,111,28,12,19,12,37,1,1,1,1,3,4,12,0,6.93537
"157",2404,50,106,38,15,8,0,32,1,0,0,1,2,1,12,12,7.7848892
"158",1899,40,127,49,18,9,14,36,0,0,0,1,0,1,10,0,7.5490832
"159",757,40,113,35,16,10,9,33,1,0,0,1,2,1,12,12,6.6293631
"160",1250,40,115,36,14,9,1,29,1,0,0,1,2,2,12,12,7.130899
"161",1162,48,102,40,16,8,11,31,1,0,0,1,3,2,12,0,7.057898
"162",1025,40,85,29,15,9,13,29,1,1,0,1,6,1,14,12,6.9324479
"163",1100,50,117,51,16,11,12,32,1,0,0,0,0,1,12,10,7.0030661
"164",714,35,125,34,16,7,5,28,1,0,0,1,4,1,10,10,6.5708828
"165",1318,35,118,47,16,16,17,37,1,0,0,0,1,1,8,12,7.1838708
"166",1411,45,121,40,18,14,3,38,1,0,0,1,3,2,12,16,7.2520542
"167",2162,40,115,51,17,4,4,38,1,0,0,1,1,1,12,12,7.6787891
"168",1273,55,120,44,14,11,16,36,1,0,0,0,1,1,12,0,7.1491318
"169",1140,48,109,43,12,16,15,35,1,0,0,1,2,2,11,6,7.038784
"170",578,40,109,28,13,7,4,30,0,0,0,1,1,0,12,11,6.3595738
"171",942,40,85,36,12,7,10,38,1,0,0,1,4,5,0,0,6.8480048
"172",1058,40,85,50,12,17,8,38,1,0,0,0,4,1,12,0,6.9641361
"173",750,40,106,32,14,9,9,29,1,0,0,1,1,2,11,10,6.6200728
"174",1000,60,101,30,12,11,6,30,1,0,0,1,3,1,10,10,6.9077549
"175",951,60,116,40,12,9,7,30,1,0,0,1,4,5,12,9,6.8575139
"176",635,47,91,24,12,13,2,31,1,0,0,1,2,2,7,7,6.4536252
"177",1250,40,91,28,12,13,1,34,1,0,0,1,3,1,11,5,7.130899
"178",675,40,110,34,12,6,15,34,1,0,0,1,2,1,7,0,6.5147128
"179",400,40,75,33,12,11,6,32,1,0,0,1,4,0,7,12,5.9914651
"180",577,50,94,17,12,9,8,29,1,0,0,1,2,0,12,8,6.357842
"181",590,40,109,27,13,10,7,29,1,0,0,0,2,2,12,12,6.3801231
"182",923,50,122,38,16,10,10,31,1,0,0,0,1,2,8,8,6.8276291
"183",1250,50,102,26,12,6,2,32,0,0,0,1,4,2,11,8,7.130899
"184",1100,40,122,38,14,11,8,33,1,0,0,1,2,3,8,10,7.0030661
"185",1130,50,105,38,12,18,2,37,1,0,0,1,4,2,10,10,7.029973
"186",652,50,113,37,12,14,4,36,0,0,0,1,1,2,9,9,6.4800439
"187",618,42,104,34,12,6,2,30,1,0,0,1,3,2,8,12,6.4264879
"188",962,50,124,43,16,7,14,34,1,0,0,1,2,2,9,11,6.8690138
"189",529,40,110,31,13,14,11,32,1,0,0,0,1,1,12,8,6.270988
"190",817,40,95,37,12,16,14,33,1,0,0,0,2,1,12,12,6.7056389
"191",962,40,120,39,16,8,9,32,1,0,0,0,0,1,18,0,6.8690138
"192",840,40,105,39,12,19,15,38,1,0,0,0,3,1,12,8,6.7334018
"193",866,40,121,30,16,7,4,28,1,0,0,0,1,0,12,12,6.763885
"194",2404,50,96,42,14,1,1,36,1,0,0,1,5,5,8,10,7.7848892
"195",1126,40,110,26,12,16,2,32,1,0,0,1,6,1,9,12,7.0264268
"196",1160,40,92,32,12,8,8,31,1,0,0,0,4,1,12,11,7.0561752
"197",723,40,98,34,12,15,5,38,1,0,0,1,1,1,9,0,6.5834088
"198",1778,40,109,43,16,14,13,36,1,0,0,1,0,1,11,12,7.4832439
"199",1903,48,118,44,18,13,5,36,1,0,0,0,0,1,11,11,7.551187
"200",1010,40,97,42,18,7,14,34,1,0,0,1,4,5,14,0,6.917706
"201",971,40,95,42,17,5,11,37,1,0,0,1,1,2,16,8,6.8783259
"202",525,40,99,40,12,9,2,34,1,0,0,1,2,1,10,8,6.2633982
"203",525,40,106,31,12,12,13,30,1,0,0,0,1,1,10,12,6.2633982
"204",670,45,117,33,12,10,3,30,1,0,0,0,5,2,12,0,6.507277
"205",500,45,90,47,12,19,4,37,1,0,0,0,0,1,12,6,6.2146082
"206",1058,45,98,45,14,14,15,34,1,0,0,0,2,3,0,0,6.9641361
"207",550,46,95,44,12,18,15,35,1,0,0,1,1,1,12,11,6.3099179
"208",500,45,115,43,12,14,1,32,1,0,0,1,1,2,12,11,6.2146082
"209",727,55,106,40,15,10,5,31,0,0,0,1,1,0,12,12,6.5889258
"210",865,40,114,26,12,6,8,30,1,0,0,0,2,3,8,8,6.7627301
"211",1081,40,92,34,13,8,2,30,1,0,1,1,3,4,12,10,6.985642
"212",1304,45,119,36,17,9,9,31,1,0,0,0,1,1,13,12,7.173192
"213",575,40,85,32,13,6,1,30,1,0,0,0,1,2,13,12,6.3543701
"214",623,45,98,34,16,7,1,30,1,0,0,0,3,1,12,12,6.434546
"215",515,45,114,30,13,8,10,28,1,0,0,0,3,2,12,12,6.2441669
"216",1273,55,84,42,18,14,4,37,1,0,0,1,1,1,8,12,7.1491318
"217",990,40,108,42,13,13,9,33,1,0,0,0,4,1,16,16,6.8977051
"218",600,40,107,32,12,16,6,33,1,0,0,0,5,6,8,4,6.3969302
"219",1160,40,84,35,12,17,2,38,1,0,0,0,4,2,16,12,7.0561752
"220",500,55,86,22,12,11,9,29,1,0,0,0,5,5,10,12,6.2146082
"221",795,45,88,27,12,17,18,35,1,0,0,0,2,2,10,12,6.6783419
"222",500,50,97,34,11,20,3,37,1,0,0,0,2,1,0,0,6.2146082
"223",740,50,84,31,10,23,13,38,1,0,0,0,5,1,0,9,6.6066499
"224",1250,40,117,45,16,10,7,33,1,0,0,1,1,1,12,14,7.130899
"225",1014,55,110,42,16,13,9,30,0,0,0,1,1,2,12,14,6.921658
"226",1250,32,104,32,13,13,3,33,1,0,0,1,3,3,9,0,7.130899
"227",913,40,110,26,14,4,13,29,1,0,0,1,3,4,9,0,6.8167362
"228",1346,40,99,33,16,9,8,30,1,0,0,1,2,0,11,12,7.2048931
"229",445,40,80,31,10,19,0,38,1,0,0,0,5,5,0,0,6.098074
"230",265,40,101,43,12,18,2,37,1,0,0,1,1,2,0,0,5.57973
"231",1250,40,117,31,14,7,1,28,1,0,0,1,1,2,12,12,7.130899
"232",1607,56,108,41,13,7,9,36,1,0,0,1,2,1,0,0,7.3821239
"233",1452,35,69,33,16,12,15,38,1,1,0,1,7,6,10,10,7.2806969
"234",1391,50,109,38,12,14,8,32,1,1,1,1,1,2,11,9,7.2377782
"235",821,45,85,39,16,8,2,32,1,0,0,1,5,6,8,8,6.7105231
"236",794,40,114,36,16,9,7,29,1,0,0,1,1,2,11,9,6.677083
"237",500,30,90,46,13,10,1,38,1,0,0,0,4,3,0,0,6.2146082
"238",520,50,107,30,18,6,3,29,1,0,0,0,10,1,12,14,6.253829
"239",1730,50,117,41,18,12,12,37,1,0,0,1,1,2,12,8,7.4558768
"240",1924,50,112,47,18,9,10,38,1,0,0,1,6,1,16,18,7.562161
"241",1155,60,106,46,18,10,2,37,1,0,0,1,3,3,14,18,7.051856
"242",2162,40,116,38,15,9,4,31,1,0,0,1,2,1,12,17,7.6787891
"243",923,50,123,44,14,8,7,31,1,0,0,1,1,2,8,0,6.8276291
"244",1115,40,118,40,16,12,13,33,1,0,0,1,1,1,8,0,7.0166101
"245",449,36,91,20,12,7,2,30,0,0,0,1,1,0,0,0,6.1070228
"246",1500,40,103,29,12,10,11,34,1,0,0,1,2,3,12,7,7.313221
"247",826,40,114,40,14,20,3,37,1,0,0,1,4,4,8,6,6.7165952
"248",937,40,102,36,12,16,8,35,1,0,0,1,3,2,12,6,6.8426828
"249",978,48,104,36,12,19,15,36,1,0,0,1,5,6,6,0,6.885509
"250",1031,40,112,43,14,14,12,33,0,0,0,1,6,6,14,12,6.9382839
"251",1272,40,107,39,12,10,1,30,1,0,0,1,4,3,12,12,7.1483459
"252",1136,50,117,36,14,16,12,34,1,0,1,1,2,3,12,12,7.0352688
"253",800,45,110,36,12,19,12,36,1,0,0,1,7,8,0,0,6.6846118
"254",1339,38,96,42,12,8,9,33,1,0,0,1,0,1,12,11,7.1996779
"255",1063,40,90,38,12,14,12,32,1,1,0,1,2,2,8,12,6.9688511
"256",935,44,97,27,12,10,6,29,1,0,0,1,2,2,8,7,6.8405471
"257",808,40,99,40,12,18,13,38,1,1,0,1,0,1,9,8,6.694562
"258",375,40,99,29,10,12,2,30,1,0,1,0,3,2,8,5,5.9269261
"259",537,40,97,32,12,14,8,31,0,1,0,1,2,1,11,0,6.2859979
"260",1082,55,95,40,12,11,4,29,1,1,0,1,2,2,11,0,6.986567
"261",930,40,126,44,14,10,1,31,0,0,0,1,3,0,8,0,6.8351851
"262",1155,40,109,49,17,13,4,38,1,0,0,0,3,3,12,8,7.051856
"263",548,40,86,22,11,7,0,33,1,1,0,1,5,2,11,0,6.3062749
"264",622,45,119,48,16,12,1,33,1,0,0,1,0,1,12,12,6.43294
"265",841,40,102,38,16,10,1,29,1,0,0,1,3,1,12,12,6.734591
"266",769,55,105,45,18,7,15,38,0,0,0,1,2,3,9,5,6.6450911
"267",587,38,117,40,17,8,5,29,1,0,0,0,3,3,12,0,6.3750248
"268",1924,45,112,40,16,17,18,38,1,0,0,1,1,1,12,12,7.562161
"269",1058,40,89,28,12,7,3,29,1,0,0,1,2,0,8,6,6.9641361
"270",417,48,131,39,12,7,1,28,0,0,0,1,1,2,12,6,6.0330858
"271",1202,48,114,28,16,6,6,28,1,0,0,1,3,3,16,16,7.091742
"272",1154,40,98,35,14,18,2,37,1,0,0,1,1,0,10,14,7.0509901
"273",1070,40,124,41,13,4,9,32,1,0,0,1,0,1,0,0,6.9754138
"274",1202,40,125,30,14,10,11,29,1,0,0,1,2,3,12,12,7.091742
"275",711,45,100,38,18,13,3,36,1,0,0,1,1,0,10,16,6.5666718
"276",1202,40,84,21,14,6,5,31,1,1,0,1,2,1,11,9,7.091742
"277",850,43,113,26,12,7,3,28,1,0,0,1,1,2,8,12,6.7452359
"278",1000,40,102,46,16,13,11,35,1,0,0,1,6,2,10,12,6.9077549
"279",490,49,82,33,18,7,8,31,0,0,0,1,2,0,12,9,6.194406
"280",1000,40,112,47,14,15,4,35,1,0,0,1,4,1,12,10,6.9077549
"281",865,40,111,38,16,11,4,31,1,0,1,1,4,5,8,5,6.7627301
"282",1375,40,96,24,13,3,3,30,1,0,0,1,3,1,11,8,7.2262092
"283",1586,40,127,48,16,16,12,37,1,0,0,1,4,4,16,16,7.3689699
"284",1602,65,97,47,15,14,14,37,1,0,0,1,1,1,8,0,7.3790078
"285",3078,65,120,50,14,12,13,36,1,0,1,1,1,2,12,0,8.0320349
"286",898,40,101,41,16,7,9,35,0,0,0,1,3,4,16,14,6.8001699
"287",906,40,120,40,14,16,2,37,1,0,0,1,5,1,12,12,6.8090391
"288",952,40,99,34,13,10,10,31,1,1,0,1,1,1,8,10,6.8585649
"289",571,40,78,33,13,10,1,29,0,1,0,1,5,5,8,9,6.3473892
"290",445,45,110,23,12,15,13,32,0,0,0,1,2,2,5,11,6.098074
"291",289,40,94,35,12,9,0,30,1,0,0,1,2,3,5,11,5.6664271
"292",1444,40,120,50,16,12,15,37,1,0,0,1,1,2,17,13,7.2751722
"293",962,55,108,45,12,19,21,36,1,0,0,1,3,1,8,8,6.8690138
"294",1075,40,103,31,12,17,10,33,1,0,0,1,13,3,11,11,6.9800758
"295",909,55,97,39,11,17,5,35,1,0,0,1,7,3,0,0,6.812345
"296",1250,40,106,36,12,14,19,35,1,0,0,1,4,1,11,13,7.130899
"297",620,40,99,22,11,10,5,29,1,1,0,1,11,5,0,0,6.429719
"298",1016,40,72,18,10,14,15,37,1,1,0,1,8,9,11,0,6.9236288
"299",800,40,88,29,10,21,14,37,1,1,0,1,8,1,11,8,6.6846118
"300",1050,40,119,37,16,7,18,37,0,0,0,1,2,2,12,13,6.9565449
"301",1079,50,87,33,12,18,9,36,1,0,0,1,5,5,8,0,6.9837899
"302",654,50,121,49,17,12,13,34,1,0,0,1,1,2,11,12,6.483108
"303",781,50,112,33,12,8,10,30,1,0,0,1,2,2,12,8,6.6605749
"304",1038,48,103,36,15,8,2,36,1,0,1,0,2,1,12,15,6.9450512
"305",1924,50,99,48,16,16,14,37,1,0,0,1,0,1,16,18,7.562161
"306",1202,40,101,40,15,15,17,37,1,0,0,1,3,2,12,12,7.091742
"307",666,70,117,34,15,8,2,32,1,0,0,1,0,1,0,0,6.5012898
"308",905,45,109,41,14,11,14,36,1,0,0,1,3,4,8,8,6.8079352
"309",890,70,73,46,12,6,8,31,1,0,0,1,3,1,12,12,6.7912221
"310",817,40,116,27,16,10,7,31,1,0,1,0,1,2,16,16,6.7056389
"311",812,40,98,42,12,10,2,29,0,0,0,1,3,2,12,12,6.699501
"312",577,60,104,43,14,6,2,30,1,0,1,1,2,3,14,12,6.357842
"313",756,40,78,29,14,9,2,31,1,0,0,1,2,2,12,12,6.6280408
"314",1011,40,104,43,12,20,7,37,1,0,1,1,0,1,0,0,6.918695
"315",1155,45,85,39,12,14,1,34,1,0,0,1,2,1,12,12,7.051856
"316",1025,40,104,25,12,12,7,29,1,0,0,1,3,4,12,10,6.9324479
"317",1350,40,107,37,12,17,12,35,1,0,0,0,2,3,0,0,7.20786
"318",1001,40,109,48,12,20,22,37,1,0,0,1,1,1,8,10,6.9087548
"319",796,48,119,31,13,16,15,37,1,1,0,1,7,1,11,0,6.6795988
"320",1230,50,96,33,13,11,12,30,1,0,0,1,3,2,10,11,7.114769
"321",754,40,93,31,12,13,1,30,1,0,0,1,5,0,0,0,6.625392
"322",714,40,90,32,12,17,1,37,1,0,0,0,5,3,12,12,6.5708828
"323",1000,45,103,29,15,8,3,32,1,0,0,1,3,4,12,0,6.9077549
"324",2067,40,106,41,16,12,13,33,1,0,1,1,2,1,14,12,7.633853
"325",912,40,96,32,16,11,5,30,1,0,0,1,2,2,14,12,6.81564
"326",600,40,114,39,12,8,5,30,1,0,1,1,6,3,8,8,6.3969302
"327",951,40,86,33,11,13,1,31,1,0,0,1,3,4,9,0,6.8575139
"328",711,45,110,38,16,8,5,32,1,0,1,1,3,2,13,12,6.5666718
"329",1151,48,87,41,12,18,9,38,1,0,0,1,2,1,12,12,7.0483871
"330",1000,40,89,31,12,9,5,28,1,0,0,1,2,3,13,12,6.9077549
"331",841,44,106,40,12,15,10,31,1,0,0,1,5,6,8,0,6.734591
"332",400,70,100,43,12,12,3,32,1,0,0,1,3,2,5,8,5.9914651
"333",1175,45,111,38,12,17,14,34,1,0,0,1,0,1,16,4,7.0690241
"334",1202,40,100,40,12,18,2,37,1,0,0,1,0,1,12,12,7.091742
"335",1442,40,114,38,12,16,17,33,1,0,0,1,2,3,12,10,7.273787
"336",538,55,98,45,18,5,1,34,1,0,0,1,2,2,13,0,6.287858
